社会　歴史,,
16~18世紀のヨーロッパは王がトップの( )だった。,絶対王政,
1が終わった原因,市民革命が起きたから。,
1642年に起きた革命,清教徒革命,
3は誰が起こしたか。,クロムウェル,
1688年、血を流さずに終わった革命は何か。,名誉革命,
1689年に発表された国民の権利や議会の権限を認めさせる法,権利の章典,
アメリカはもともとどこの国の植民地だったか。,イギリス,
7の国による支配から逃れるために起きた戦争,アメリカ独立戦争,
8の戦争が始まった翌年に出された宣言,アメリカ独立宣言,
1789年、フランスで起こった革命,フランス革命,
10で、国民は( )を襲撃した。,バスティーユ牢獄,
10の革命の後に発表された宣言,人権宣言,
★11が起きた日,1789年7月14日,
★現在は、13の日に合わせて、( )祭が毎年開かれている。,パリ(祭),
18世紀半ばのイギリスでは、工場制手工芸が何に変わったか。,工場制機械工業,
15の変化は何が発明されたことにより起こったか。,蒸気機関(ワットが発明),
15の一連の過程をなんと言うか。,産業革命,
★この頃、大人に反乱できない子どもたちは、( )労働をさせられた,児童(労働),
資本家が利益のために労働者を雇って生産する仕組み,資本主義,
19の逆で、すべての人が平等だとする考え方,社会主義,
19の中で、労働者が自らの権利を守るために立ち上げたもの,労働組合,
1851年から十年以上続いた乱,太平天国の乱,
22を主導した人物,洪秀全(こうしゅうぜん),
★22が長引いた理由は、( )戦争が同時に起こっていたため。,アロー(戦争),
この頃のロシアの政策,南下政策,
なぜ25をしたか。,不凍港が欲しかったから。,
1840年から始まった戦争,アヘン戦争,
27は、どことどこの国の間で起こったか。,清と英(イギリス)(順不同),
1842年に結ばれた、27の終戦の条約,南京条約,
29は、どこの国に不平等な条約だったか。,清,
1857年に東インド会社(1600~)の支配により起きた乱,インドの大反乱,
31により、インドはどこの国の植民地になったか。,英(イギリス),
★アメリカ独立戦争の後、アメリカは( )岸まで拡大した。,太平洋(岸),
★また、( )の食料・燃料確保のために、( )とも交易をした。,捕鯨船、アジア,
そんな中、1853年6月、誰が日本のどこに来航したか。,ペリーが浦賀に来航,
★35の人物が持っていた国書の名称,フィルモアの国書,
★この頃、病床についた12代将軍は誰か。,徳川家慶(いえよし),
★37のため、36について朝廷に報告し、諸大名に意見を聞いた人物,阿部正弘(役職は老中首座),
★38により、大名たちが思ったこと,例)幕府が弱っている...。,
★38で、大名たちは開国に賛成したか。反対したか。,反対した,
★40の理由は何か。,鎖国中だから。,
1854年に締結した条約,日米和親条約,
42の内容の一つ、開港した2つの港を答えなさい。,下田、函館(順不同),
★42の内容の一つ、日本はアメリカ船へ( )や( )を提供する。,食料、燃料(順不同),
42の内容の一つ、領事はどこに置いたか。,下田,
★1856年に通商条約の必要性を強調したアメリカ総領事,ハリス,
★朝廷は46に賛成したか。反対したか。,反対した,
1858年に結ばれた条約,日米修好通商条約,
48には誰が署名したか。,井伊直弼,
49は(幕府/朝廷)の許可が(あり/ないのに)、48に署名した。,朝廷、ないのに,
48の内容の一つ、日本には何がないか。,関税自主権,
